ID,Title,Keywords,Level,Unnamed: 4,Type,Unnamed: 6
1.0,Python Programming,Python IoT,Beginner,,Course,
2.0,IoT using Arduino,Arduino IoT Internet of Things ESP8266 ,Beginner,,Course,
3.0,IoT using Raspberry Pi,IoT Raspberry Pi Python AWS ,Beginner,,Course,
4.0,IoT Cloud Platforms,AWS IoT Core  Azure Blynk Thingsboard,Beginner,,Course,
5.0,IoT Analytics,IoT Panads Numpy Analysis Visualization Machine Learning,Beginner,,Course,
6.0,Arduino Certification,Arduino certification IoT,Beginner,,Course,
7.0,Industrial IoT using MING Stack,"Hands-On Industrial IoT: MING STACK, Raspberry Pi, MQTT, InfluxDB, Node-RED, Grafana Mastering",Advanced,,Course,
8.0,IoT Security,IoT Security,Medium,,Course,
9.0,IoT penetration testing,IoT Penetration testing pentest,Medium,,Course,
10.0,Industrial IoT ,"RS485 MODBUS, OPC UA, MQTT, COAP, AWS IoT, Node-Red",Advanced,,Course,
11.0,Mastering MQTTT,MQTT AWS IoT Core,Medium,,Course,
12.0,Node-Red Course,Node-Red Javascript json dashboard IoT,Medium,,Course,
13.0,TinyML ,Tensorflow lite Edge Impuse macine learning ESP32 Raspberry Pi IoT,Advanced,,Course,
14.0,RTOS,AWS Free RTOS ESP32 IoT,Advanced,,Course,
15.0,Device Communication,I2C SPI UART 1-wire rs232 IoT,Medium,,Course,
16.0,Linux OS,Linux OS Linux Internals kernals IoT,Medium,,Course,
17.0,Wireless Communication Protocols,BLE Bluetooth WiFi Zigbee Zwave RFID Lora NBIoT Sigfox IoT,Medium,,Course,
18.0,IoT Data Protocols,"HTTP, HTPPs, MQTT, TCP IP, REST API's, HTTP,AMQP Arduino Raspberry Pi Python  ESP32 IoT",Beginner,,Course,
19.0,"PLC, SCADA and IoT",PLC SCADA IoT Raspberry Pi ESP32 Industry4.0 Industrial IoT,Advanced,,Course,
20.0,Embeddded C Programming Basics,Embedded C Progmming  CCSTUDIO IDE IoT,Beginner,,Course,
21.0,C Programming,C Programming IoT,Beginner,,Course,
22.0,Full Stack IoT using Javascript,HTML CSS Javascript Chartjs Node-red Raspbrry Pi Nodejs IoT,Beginner,,Course,
23.0,GIT,git IoT,Medium,,Course,
24.0,AWS Cloud Cerification,AWS S3 SNS IoT core  Lambda IoT Analytics EC2  ,Medium,,Course,
25.0,Machine Learning,Machine learning Pyhton Pandas Numpy Scikit-learn IoT,Beginner,,Course,
26.0,Edge Computing using AWS,AWS Greengrass Edge Computing Python Raspberry Pi IoT,Advanced,,Course,
27.0,Edge Computing using Azure,Azure Edge IoT Edge Computing Python Raspberry Pi IoT,Advanced,,Course,
28.0,Edge Computing  using Raspberry Pi and Python,Edge Computing Raspberry Pi Python Data Analysis Numpy Pandas SQL IoT,Advanced,,Course,
29.0,Embeddded AI,Tensorflow lite Edge Impuse macine learning ESP32 Raspberry Pi AI IoT,Advanced,,Course,
30.0,Smart Manufacturing,Smart Manufacturing Factory  Raspberry Pi Python Industrial IoT,Advanced,,Course,
31.0,Industry4.0,PLC SCADA IoT Raspberry Pi ESP32 Industry4.0 Industrial IoT,Advanced,,Course,
32.0,Artificial Intelligence of Things,IoT AI Machine Learning Python Arduino,Advanced,,Course,
,PCB Design Course,PCB Design Easyeda IoT,Advanced,,Course,
,"IoT Analytics and Machine Learning using Python, AWS and Azure",IoT Analytics Machine Learning AWS Sagemaker Azure AI studio Fundamentals ,Advanced,,Course,
33.0,Power BI,Power BI Microsoft Business Intelligence IoT,Medium,,Course,
34.0,Google Looker,Google Looker Looker Studio Business Intelligence IoT,Medium,,Course,
35.0,Amazon Quicksight,AWS Amazon Quicksight IoT,Medium,,Course,
36.0,Smart Home using ESP32,ESP32 Home Automation Smart Home Blynk Arduino IoT,Beginner,,Project,
37.0,Smart Shoe using ESP32,ESP32 MPU6050 Smart Shoe IoT Arduino Blynk,Beginner,,Project,
38.0,Smart Street Lighting System using ESP32,ESP32 Arduino Street Lighting IR sensor Blynk IoT,Beginner,,Project,
39.0,Smart Irrigation system using ESP32,Smart Irrigation ESP32 Arduino Blynk Motor Pump WiFi IoT,Beginner,,Project,
40.0,Smart Air Quality Monitoring System,Air Quality Monitoirng ESP32 Arduino Blynk IoT,Beginner,,Project,
41.0,Energy Analytics using ESP32 and PowerBI,Power BI ESP32 Energy Monitoring Arduino Thingspeak IoT analytics,Medium,,Project,
42.0,Agriculture Montoring using IoT and PowerBI,Power BI ESP32 ESP32 Arduino Thingspeak Motor Pump WiFi IoT analytics,Medium,,Project,
43.0,Real Time Health Monitoring Dashboard using Google Looker,Heart rate SPo2 temperature ESP32 Arduino IoT Analytics Health,Medium,,Project,
44.0,Machine Monitoring system using Grafana,PZEM04T Energy Monitoring sensor  Vibration Sensor Grafana Inflluxdb ESP32 Industrial IoT Manufacturing IoT,Beginner,,Project,
45.0,Home Automation using TMC4123,Smart Home tm4c123 CCStudio CodeComposer Studio embedded Systems IoT,Advanced,,Project,
46.0,An IoT Based Healthcare Solution With ESP32 Using Machine Learning Model,tem+C49:C57perature  beats per minute  SpO2 Blynk LightGBM Machine Learning ML IoT Arduino ,Advanced,,Project,
